Element,Atmoic #,Kα,Kβ,Kab,Lα,Lβ1,Lβ2,Lϒ2,Llllab,Lllab,Llab,M
Te,52,27.471,30.974,31.811,3.768,4.029,4.301,,4.341,4.612,4.939,
In,53,28.615,32.272,33.167,3.937,4.22,4.507,,4.558,4.853,5.191,
Xe,54,29.779,33.6,34.59,4.109,4.417,4.717,,4.781,5.103,5.452,
Cs,55,30.971,34.96,35.987,4.286,4.619,4.935,,5.011,5.357,5.72,
Ba,56,32.196,36.354,37.542,4.465,4.827,5.156,,5.246,5.622,5.995,0.779
La,57,33.441,37.771,38.934,4.65,5.041,5.383,,5.483,5.888,6.267,0.833
Ce,58,34.717,39.223,40.453,4.893,5.261,5.612,,5.723,6.16,6.547,0.883
Pr,59,36.031,,,5.033,5.488,5.849,,5.962,6.438,6.833,0.929
Nd,60,37.358,,,5.229,5.721,6.088,,6.208,6.722,7.128,0.978
Pm,61,38.725,,,5.432,5.96,6.338,,6.459,7.013,7.434,1.032
Sm,62,40.118,,,5.635,6.204,6.586,,6.716,7.312,7.747,1.081
Eu,63,41.534,,,5.845,6.455,6.842,,6.979,7.618,8.059,1.131
Gd,64,42.992,,,6.056,6.712,7.102,,7.242,7.93,8.385,1.185
Tb,65,44.476,,,6.272,6.977,7.365,,7.514,8.251,8.715,1.24
Dy,66,45.997,,,6.494,7.246,7.634,,7.88,8.582,9.05,1.293
Ho,67,47.534,,,6.719,7.524,7.91,,8.066,8.915,9.398,1.347
Er,68,49.1,,,6.947,7.809,8.188,,8.356,9.26,9.756,1.405
Tm,69,50.73,,,7.179,8.1,8.467,9.424,8.648,9.615,10.119,1.462
Yb,70,52.362,,,7.414,8.4,8.757,9.778,8.942,9.974,10.489,1.521
Lu,71,54.078,,,7.654,8.706,9.045,10.142,9.247,10.343,10.872,1.581
Hf,72,55.801,,,7.898,9.021,9.346,10.514,9.556,10.734,11.272,1.644
Ta,73,57.45,,,8.145,9.342,9.65,10.893,9.875,11.13,11.68,1.709
W,74,59.305,,,8.396,9.671,9.96,11.284,10.198,11.537,12.098,1.774
Re,75,61.122,,,8.651,10.008,10.274,11.683,10.529,11.953,12.529,1.842
Os,76,62.989,,,8.91,10.354,10.597,12.093,10.866,12.379,12.969,1.91
Ir,77,64.906,,,9.174,10.706,10.919,12.51,11.21,12.818,13.421,1.978
Pt,78,66.834,,,9.441,11.069,11.249,12.94,11.56,13.27,13.88,2.048
Au,79,68.804,,,9.712,11.44,11.583,13.379,11.919,13.734,14.351,2.12
Hg,80,70.806,,,9.987,11.821,11.922,13.828,12.284,14.212,14.84,2.191
Tl,81,72.869,,,10.256,12.211,12.27,14.289,12.658,14.698,15.34,2.268
Pb,82,74.989,,,10.55,12.612,12.621,14.762,13.038,15.203,15.852,2.342
Bi,83,77.091,,,10.837,13.024,12.978,15.245,13.424,15.717,16.373,2.419
Po,84,79.272,,,11.129,13.445,13.338,15.741,13.817,16.244,16.935,2.505
At,85,81.513,,,11.425,13.874,13.669,16.249,14.215,16.784,17.49,2.585
Rn,86,83.711,,,11.725,14.313,14.069,16.768,14.618,17.337,18.058,2.665
Fr,87,86.098,,,12.029,14.768,14.443,17.3,15.028,17.904,18.638,2.747
Ra,88,88.48,,,12.338,15.233,14.833,17.845,15.441,18.482,19.234,2.83
Ac,89,90.88,,,12.65,15.711,15.229,18.405,15.865,19.078,19.842,2.915
Th,90,93.382,,,12.967,16.201,15.621,18.979,16.296,19.679,20.459,2.991
Pa,91,95.886,,,13.288,16.699,16.022,19.565,16.765,20.358,21.168,3.077
U,92,98.434,,,13.612,17.217,16.425,20.164,17.162,20.943,21.766,3.165
