Temperature (K)	Resistance (Ohms)	Timestamp	Current (A)	Count	Delay (s)	StDev (Ohms)	StDev (V)	
7.455500000000	2.265697295419	3779298511.733426090000	0.000010000000	300.000000000000	0.002000000000	0.002892607216	0.000000028926
7.443000000000	2.265831219120	3779298543.208649630000	0.000010000000	300.000000000000	0.002000000000	0.002801653531	0.000000028017
7.419500000000	2.265689465882	3779298592.312139990000	0.000010000000	300.000000000000	0.002000000000	0.002848161732	0.000000028482
7.407000000000	2.265830058604	3779298623.741609570000	0.000010000000	300.000000000000	0.002000000000	0.001858312062	0.000000018583
7.412500000000	2.265333282291	3779298655.183079240000	0.000010000000	300.000000000000	0.002000000000	0.002097300998	0.000000020973
7.406000000000	2.265688094364	3779298686.625150200000	0.000010000000	300.000000000000	0.002000000000	0.002538687693	0.000000025387
7.417000000000	2.265413641605	3779298718.058397290000	0.000010000000	300.000000000000	0.002000000000	0.002396969667	0.000000023970
7.421000000000	2.265471768017	3779298749.514404300000	0.000010000000	300.000000000000	0.002000000000	0.002654231261	0.000000026542
7.406500000000	2.265316881676	3779298780.948040960000	0.000010000000	300.000000000000	0.002000000000	0.002017924647	0.000000020179
7.407500000000	2.265474721450	3779298817.413837430000	0.000010000000	300.000000000000	0.002000000000	0.001531329082	0.000000015313
7.416000000000	2.265341501698	3779298848.852222440000	0.000010000000	300.000000000000	0.002000000000	0.001975480286	0.000000019755
7.955000000000	2.265502965505	3779298881.437117580000	0.000010000000	300.000000000000	0.002000000000	0.001864753162	0.000000018648
8.043500000000	2.265380655444	3779298912.875875000000	0.000010000000	300.000000000000	0.002000000000	0.002168998742	0.000000021690
